p_xpos,p_ypos,p_xvel,p_yvel,mal1_xpos,mal1_ypos,mal1_xvel,mal1_yvel,mal2_xpos,mal2_ypos,mal2_xvel,mal2_yvel,a_x,a_y
0.25,0.0,0.0,0.0,-0.8908350856629791,0.14837023093219498,0.1323625597644206,-0.04329321242688472,0.614869677570071,0.0,-0.8780868121291092,0.0,3.309742396322364,-1.0825522028077852
0.25,0.0,0.0,0.0,-0.8814422424317568,0.15073828345146575,0.33226863133210843,0.15668310704792257,0.5797534043888306,0.0,-0.8777356493972969,0.0,29.59754848668893,12.493583077596409
0.25,0.0,0.0,0.0,-0.8640547953381468,0.15663286223097464,0.5320947568611721,0.13850158140663663,0.5446511748377316,0.0,-0.877384627101786,0.0,5.287409242878265,-0.45306449633727197
0.25,0.0,0.0,0.0,-0.8393812427962238,0.1611793554945285,0.6974382665368558,0.09003790261723309,0.5095629833004733,0.0,-0.8770337451864133,0.0,4.139756130027575,-1.2104553464192
0.25,0.0,0.0,0.0,-0.8090179249989232,0.1636952908017812,0.8177127480432818,0.03708618361118648,0.47448882416300064,0.0,-0.8766830035950388,0.0,3.0144528671099757,-1.3231639913243516
0.25,0.0,0.0,0.0,-0.7746477345527182,0.16411174447696922,0.8987650662286544,-0.014958905146157712,0.4394286918135045,0.0,-0.8763324022715441,0.0,2.034900502245863,-1.3010231055148078
0.25,0.0,0.0,0.0,-0.7379976048787752,0.16252711652398402,0.9328861178736633,-0.06306659509555859,0.40438258064241983,0.0,-0.8759819411598333,0.0,0.8621888235437103,-1.2030884057232678
0.25,0.0,0.0,0.0,-0.700407511091923,0.15915916588376047,0.9462827627988121,-0.10429741932008674,0.36935048504242485,0.0,-0.8756316202038334,0.0,0.3443136465754373,-1.0316125932732603
0.25,0.0,0.0,0.0,-0.6630808116224354,0.1543638117815757,0.920693643523977,-0.13470799529528474,0.3343323994084402,0.0,-0.8752814393474938,0.0,-0.6303963070035117,-0.7614632379054957
0.2200796264378878,0.0,-0.965339610063448,0.0,-0.6269608650997698,0.14851190957143182,0.8861690964720415,-0.15732030103118164,0.2997196580979762,0.0,-0.8622362951357536,0.0,-0.8540836896677164,-0.5667706189499601
