p_xpos,p_ypos,p_xvel,p_yvel,mal1_xpos,mal1_ypos,mal1_xvel,mal1_yvel,mal2_xpos,mal2_ypos,mal2_xvel,mal2_yvel,a_x,a_y
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.6359979511717875,-0.32348170979402674,0.0005230644399524638,0.000524045552988012,0.518017507196084,-0.24729148253187555,0.0,0.0,0.013079291878311325,0.013103824732731167
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.6318776068210176,-0.3193613262067797,0.20048186099644472,0.20048284171711556,0.518017507196084,-0.24729148253187555,0.0,0.0,27.07323203025946,44.87324948113966
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.6218031614482787,-0.3076599667132176,0.3007275856852904,0.3800831592123127,0.518017507196084,-0.24729148253187555,0.0,0.0,2.5086617285643285,4.492933277253322
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.6084304228065306,-0.28967658682802566,0.36626650686387624,0.5156867116937637,0.518017507196084,-0.24729148253187555,0.0,0.0,1.641816214125082,3.394584657007571
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.5929434764900687,-0.2671445360051408,0.40705829647944014,0.6085871295448305,0.518017507196084,-0.24729148253187555,0.0,0.0,1.0236664769682133,2.3281434589823933
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.5762019085519459,-0.24162230150818495,0.4294586004155204,0.6660833589019186,0.518017507196084,-0.24729148253187555,0.0,0.0,0.5641929903865337,1.4437862925514389
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.5588599740866547,-0.21435693365019515,0.4374381036367623,0.6964244843929218,0.518017507196084,-0.24729148253187555,0.0,0.0,0.20382306414736684,0.7653444792395687
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.5414939595530368,-0.18641088907892273,0.43102341757208107,0.700768845696487,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.15602564798362106,0.11559554373195224
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.5245993598936792,-0.15869940791247178,0.4141300257089706,0.6851955817873125,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.41811114666292215,-0.3824037274377523
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.5085729876094671,-0.1320019089580796,0.3878474050879932,0.6505478671896802,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.6530589224533834,-0.8595184902022068
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4936852532335688,-0.10685658490834511,0.3573049109440062,0.6077901275092089,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.7598404200056974,-1.062657160999351
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4800776082474825,-0.08358989942824721,0.32391432758087785,0.5568217516433855,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.8313626728316881,-1.2683927252755574
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4678628392414349,-0.062467674494988024,0.287731113761551,0.5006963689225131,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.9015266532316564,-1.3978540117884979
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.45710849402155473,-0.04363857055117991,0.2509091495878879,0.44222452015452773,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.9178605180366105,-1.4570889432136827
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.447814116354264,-0.027151405468378582,0.21471695005812022,0.3836031732849734,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.9024813938273699,-1.4614118804681624
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4399440390169874,-0.012991375452742772,0.17966553741058283,0.32584610231662864,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.8743177968541149,-1.4403867667047128
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4334396515327621,-0.0010994437670306537,0.14638799252808274,0.2701466785194525,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.830312525191447,-1.3895126120079722
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4282079284653266,0.008672566189540537,0.11596086619906447,0.21971789860755792,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.7593702274585993,-1.2582764953082213
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4241418194448157,0.01648752809934757,0.08804435747273076,0.17222078909958308,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.6968961909032143,-1.1854739972219195
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4211186651245008,0.022516802067980637,0.06372301256714777,0.1302938755377581,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.6072778340594958,-1.0466655205534665
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4190079499750098,0.026949816344319717,0.04234853101394047,0.09230899111990595,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.5338343600428098,-0.9485138568772193
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4176931522638052,0.029956602242504737,0.023854926782298096,0.058868542952249955,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.4620114063632582,-0.8352595077168525
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4170522013649362,0.03173758272622983,0.008575618838545185,0.030882009171995486,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.38182246086910565,-0.6992180993854307
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4169787625823702,0.0324818499624651,-0.004574061606050076,0.006931705902479823,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.3287236514192401,-0.5985715149288328
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.4174011154411222,0.032353172473741115,-0.016250882836468,-0.012869237521816334,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.29202611897513614,-0.495055754979585
-0.29772456605611,-0.10602558498379727,0.0,0.0,-0.41825025468658256,0.03151907232068155,-0.02596263850241816,-0.02844533006559201,0.518017507196084,-0.24729148253187555,0.0,0.0,-0.24300617646011902,-0.3896108386326568
