p_xpos,p_ypos,p_xvel,p_yvel,mal1_xpos,mal1_ypos,mal1_xvel,mal1_yvel,mal2_xpos,mal2_ypos,mal2_xvel,mal2_yvel,a_x,a_y
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.8828385432683297,-0.11275517742205438,0.19995900573938302,0.19995900573938302,0.847282688486571,-0.06564798791530282,-0.9956344178075824,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.8707423964113739,-0.10065903056509831,0.39983804427081354,0.39983804427081354,0.8074654748336284,-0.06564798791530282,-0.9952362456710535,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.8506527267918402,-0.0805693609455645,0.5996371475746182,0.5996371475746182,0.7676641848015925,-0.06564798791530282,-0.9948382327707331,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.8225727311634563,-0.052489365317180806,0.7993563476183342,0.7993563476183342,0.7278788120223205,-0.06564798791530282,-0.9944403790429404,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.7865056050015115,-0.0164222391552359,0.9989956763567145,0.9989956763567145,0.6881093501302162,-0.06564798791530282,-0.9940426844240192,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.742454542503366,0.02762882334290989,1.1985551657317335,1.1985551657317335,0.6483557927622294,-0.06564798791530282,-0.9936451488503393,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.6904227365889626,0.07966062925731324,1.3980348476725901,1.3980348476725901,0.6086181335578544,-0.06564798791530282,-0.9932477722582952,0.0,139.76291201058922,188.19833200259995
0.48711583213111065,-0.05291939340497959,0.0,0.0,-0.6304133789013389,0.13966998694493696,1.5974347540957137,1.5974347540957137,0.5688963661591292,-0.06564798791530282,-0.9928505545843082,0.0,139.76291201058922,188.19833200259995
0.4520912570973225,-0.04700421875091774,-1.058565761902288,0.18028570066968758,-0.5706285119305354,0.19945485391574033,1.396836905426006,1.396836905426006,0.5296487554293547,-0.06572538040664277,-0.978521600697112,-0.002372516057062848,-51.72905373640674,-110.91336716046166
0.4100806917018654,-0.039849345156443006,-1.0424078521348035,0.17753382621027422,-0.518865914234423,0.2512174516118528,1.196319279449045,1.196319279449045,0.49051591415537377,-0.06582026159701695,-0.9781302722843722,-0.0023715672451591068,-51.72905373640674,-110.91336716046166
0.36871137406764404,-0.032803683295521344,-1.0264965761216418,0.17482395626376582,-0.47512237756302533,0.29496098828325057,0.9958818440823308,0.9958818440823308,0.4513987228094588,-0.06591510484269414,-0.9777391003709133,-0.0023706188127023344,-51.72905373640674,-110.91336716046166
0.32797351621186394,-0.025865566164174528,-1.010828169254034,0.17215544967478635,-0.43939469494940364,0.33068867089687226,0.7955245672561947,0.7955245672561947,0.4122971751329215,-0.06600991015884915,-0.9773480848941482,-0.002369670759540786,-51.72905373640674,-110.91336716046166
0.2878574795551478,-0.019033352203513185,-0.9953989243860665,0.16952767507453192,-0.41167966070914286,0.3584037051371329,0.5952474169137919,0.5952474169137919,0.3732112648695767,-0.06610467756065062,-0.9769572257915147,-0.0023687230855227717,-51.72905373640674,-110.91336716046166
0.24835377264104835,-0.012305424911343848,-0.9802051909575669,0.16694001073138992,-0.3919740704398389,0.3781092954064369,0.39505036101109864,0.39505036101109864,0.3341409857657413,-0.06619940706326123,-0.9765665230004765,-0.0023677757904966663,-51.72905373640674,-110.91336716046166
0.2094530488903681,-0.005680192459704501,-0.9652433741303821,0.16439184440383633,-0.3802747210205858,0.3898086448256901,0.19493336751690607,0.19493336751690607,0.295086331570233,-0.06629409868183753,-0.9761759764585215,-0.002366828874310903,-51.72905373640674,-110.91336716046166
0.17114610438975872,0.0008439126817620548,-0.95050993393784,0.16188257319557997,-0.3765784106114633,0.39350495523481255,-0.005103595587185138,-0.005103595587185138,0.25604729603436954,-0.06638875243153006,-0.9757855861031628,-0.0023658823368139788,-51.72905373640674,-110.91336716046166
0.13342387571407527,0.007268434116685944,-0.9360013844471926,0.159411603412917,-0.3808819386530248,0.3892014271932509,-0.20506056030676947,-0.20506056030676947,0.21702387291196767,-0.06648336832748321,-0.9753953518719384,-0.0023649361778544484,-51.72905373640674,-110.91336716046166
0.09627743778196803,0.013594891887186933,-0.9217142929348436,0.15697835042426278,-0.39318210586578484,0.376901259980491,-0.4049375586346418,-0.4049375586346418,0.178016055959342,-0.06657794638483537,-0.9750052737024123,-0.0023639903972809267,-51.72905373640674,-110.91336716046166
0.05969800174420871,0.01982478283351645,-0.9076452790741666,0.1545822385218283,-0.4134757142497076,0.35660765159656815,-0.6047346225508027,-0.6047346225508027,0.13902383893530412,-0.06667248661871897,-0.9746153515321717,-0.0023630449949420926,-51.72905373640674,-110.91336716046166
0.023676912904247817,0.025959580948210118,-0.89379101413572,0.15222270078540773,-0.4417595670836951,0.3283237987625807,-0.8044517840224628,-0.8044517840224628,0.10004721560116162,-0.06676698904426023,-0.9742255852988302,-0.002362099970686681,-51.72905373640674,-110.91336716046166
-0.011794351329486736,0.032000737724834416,-0.8801482201996682,0.14989917894824456,-0.4780304689250755,0.29205289692120023,-1.004089075004049,-1.004089075004049,0.06108617972071703,-0.06686145367657935,-0.9738359749400257,-0.0023611553243634894,-51.72905373640674,-110.91336716046166
